Season,Team,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R
2024,Angels,99,101,95,97,101,100,107,104
2024,Orioles,103,103,95,98,91,120,106,94
2024,Red Sox,104,105,118,104,114,119,95,101
2024,White Sox,100,100,94,98,84,90,108,103
2024,Guardians,100,101,99,103,82,95,103,96
2024,Tigers,101,101,99,103,143,96,95,98
2024,Royals,103,103,107,108,128,118,92,96
2024,Twins,101,99,102,106,93,91,102,96
2024,Yankees,97,97,95,96,85,86,107,104
2024,Athletics,98,100,100,99,109,95,90,90
2024,Mariners,95,95,93,93,75,84,93,98
2024,Rays,94,97,97,97,105,98,92,99
2024,Rangers,99,96,101,99,89,96,105,99
2024,Blue Jays,97,98,105,99,88,90,97,105
2024,Diamondbacks,102,103,104,105,119,120,88,92
2024,Braves,102,99,97,99,91,111,99,97
2024,Cubs,102,99,99,93,129,96,97,101
2024,Reds,101,102,100,102,90,78,117,114
2024,Rockies,108,109,108,113,128,142,105,108
2024,Marlins,102,100,100,101,113,104,101,94
2024,Astros,101,97,101,98,129,99,102,102
2024,Dodgers,98,95,98,98,88,81,107,112
2024,Brewers,94,97,95,97,107,100,105,102
2024,Nationals,103,99,101,99,93,102,99,103
2024,Mets,98,98,98,93,85,91,97,101
2024,Phillies,100,99,95,100,109,96,108,104
2024,Pirates,102,102,107,103,92,105,95,91
2024,Cardinals,100,101,96,100,84,94,94,94
2024,Padres,97,97,97,94,83,89,101,100
2024,Giants,100,102,102,101,106,115,91,90
